Municipio,Categoria,Tipo,Valor,Year,Isla
ARIANY,H 2*,PLACES,NA,23,Mallorca
ARIANY,H 3*,ESTABL.,NA,23,Mallorca
ARIANY,H 3*,PLACES,NA,23,Mallorca
ARIANY,H 3*SUP,ESTABL.,NA,23,Mallorca
ARIANY,H 3*SUP,PLACES,NA,23,Mallorca
ARIANY,H 4*,ESTABL.,NA,23,Mallorca
ARIANY,H 4*,PLACES,NA,23,Mallorca
ARIANY,H 4* SUP,ESTABL.,1,23,Mallorca
ARIANY,H 4* SUP,PLACES,50,23,Mallorca
ARIANY,H 5*,ESTABL.,NA,23,Mallorca
ARIANY,H 5*,PLACES,NA,23,Mallorca
ARIANY,H 5* G.L.,ESTABL.,NA,23,Mallorca
ARIANY,H 5* G.L.,PLACES,NA,23,Mallorca
ARIANY,HA 1*,ESTABL.,NA,23,Mallorca
ARIANY,HA 1*,PLACES,NA,23,Mallorca
ARIANY,HA 2*,ESTABL.,NA,23,Mallorca
ARIANY,HA 2*,PLACES,NA,23,Mallorca
ARIANY,HA 3*,ESTABL.,NA,23,Mallorca
ARIANY,HA 3*,PLACES,NA,23,Mallorca
ARIANY,HA 3* SUP,ESTABL.,NA,23,Mallorca
ARIANY,HA 3* SUP,PLACES,NA,23,Mallorca
ARIANY,HA 4*,ESTABL.,NA,23,Mallorca
ARIANY,HA 4*,PLACES,NA,23,Mallorca
ARIANY,HA 4* SUP,ESTABL.,NA,23,Mallorca
ARIANY,HA 4* SUP,PLACES,NA,23,Mallorca
ARIANY,HA 5*,ESTABL.,NA,23,Mallorca
ARIANY,HA 5*,PLACES,NA,23,Mallorca
ARIANY,HO,ESTABL.,NA,23,Mallorca
ARIANY,HO,PLACES,NA,23,Mallorca
ARIANY,HR 5*,ESTABL.,NA,23,Mallorca
ARIANY,HR 5*,PLACES,NA,23,Mallorca
ARIANY,HR,ESTABL.,NA,23,Mallorca
ARIANY,HR,PLACES,NA,23,Mallorca
ARIANY,HS 1*,ESTABL.,NA,23,Mallorca
ARIANY,HS 1*,PLACES,NA,23,Mallorca
ARIANY,HS 2*,ESTABL.,NA,23,Mallorca
ARIANY,HS 2*,PLACES,NA,23,Mallorca
ARIANY,HS 3*,ESTABL.,NA,23,Mallorca
ARIANY,HS 3*,PLACES,NA,23,Mallorca
ARIANY,HSR 1*,ESTABL.,NA,23,Mallorca
ARIANY,HSR 1*,PLACES,NA,23,Mallorca
ARIANY,HSR 2*,ESTABL.,NA,23,Mallorca
ARIANY,HSR 2*,PLACES,NA,23,Mallorca
ARIANY,HSR 3*,ESTABL.,NA,23,Mallorca
ARIANY,HSR 3*,PLACES,NA,23,Mallorca
ARIANY,PENS 2*,ESTABL.,NA,23,Mallorca
ARIANY,PENS 2*,PLACES,NA,23,Mallorca
ARIANY,TI,ESTABL.,1,23,Mallorca
ARIANY,TI,PLACES,32,23,Mallorca
ARIANY,TOTAL,ESTABL.,3,23,Mallorca
ARIANY,TOTAL,PLACES,104,23,Mallorca
ARTÀ,A 1 Ll,ESTABL.,1,23,Mallorca
ARTÀ,A 1 Ll,PLACES,38,23,Mallorca
ARTÀ,A 2 Ll,ESTABL.,NA,23,Mallorca
ARTÀ,A 2 Ll,PLACES,NA,23,Mallorca
ARTÀ,A 3 Ll,ESTABL.,NA,23,Mallorca
ARTÀ,A 3 Ll,PLACES,NA,23,Mallorca
ARTÀ,A 3 Ll SUP,ESTABL.,NA,23,Mallorca
ARTÀ,A 3 Ll SUP,PLACES,NA,23,Mallorca
ARTÀ,A 4 Ll,ESTABL.,NA,23,Mallorca
ARTÀ,A 4 Ll,PLACES,NA,23,Mallorca
ARTÀ,A 4 Ll SUP,ESTABL.,NA,23,Mallorca
ARTÀ,A 4 Ll SUP,PLACES,NA,23,Mallorca
ARTÀ,AG,ESTABL.,9,23,Mallorca
ARTÀ,AG,PLACES,205,23,Mallorca
ARTÀ,CH,ESTABL.,NA,23,Mallorca
ARTÀ,CH,PLACES,NA,23,Mallorca
ARTÀ,CT,ESTABL.,NA,23,Mallorca
ARTÀ,CT,PLACES,NA,23,Mallorca
ARTÀ,F,ESTABL.,NA,23,Mallorca
ARTÀ,F,PLACES,NA,23,Mallorca
ARTÀ,H 1*,ESTABL.,NA,23,Mallorca
ARTÀ,H 1*,PLACES,NA,23,Mallorca
ARTÀ,H 2*,ESTABL.,NA,23,Mallorca
ARTÀ,H 2*,PLACES,NA,23,Mallorca
ARTÀ,H 3*,ESTABL.,NA,23,Mallorca
ARTÀ,H 3*,PLACES,NA,23,Mallorca
ARTÀ,H 3*SUP,ESTABL.,NA,23,Mallorca
ARTÀ,H 3*SUP,PLACES,NA,23,Mallorca
ARTÀ,H 4*,ESTABL.,7,23,Mallorca
ARTÀ,H 4*,PLACES,253,23,Mallorca
ARTÀ,H 4* SUP,ESTABL.,NA,23,Mallorca
ARTÀ,H 4* SUP,PLACES,NA,23,Mallorca
ARTÀ,H 5*,ESTABL.,NA,23,Mallorca
ARTÀ,H 5*,PLACES,NA,23,Mallorca
ARTÀ,H 5* G.L.,ESTABL.,NA,23,Mallorca
ARTÀ,H 5* G.L.,PLACES,NA,23,Mallorca
ARTÀ,HA 1*,ESTABL.,NA,23,Mallorca
ARTÀ,HA 1*,PLACES,NA,23,Mallorca
ARTÀ,HA 2*,ESTABL.,NA,23,Mallorca
ARTÀ,HA 2*,PLACES,NA,23,Mallorca
ARTÀ,HA 3*,ESTABL.,NA,23,Mallorca
ARTÀ,HA 3*,PLACES,NA,23,Mallorca
ARTÀ,HA 3* SUP,ESTABL.,NA,23,Mallorca
ARTÀ,HA 3* SUP,PLACES,NA,23,Mallorca
ARTÀ,HA 4*,ESTABL.,NA,23,Mallorca
ARTÀ,HA 4*,PLACES,NA,23,Mallorca
ARTÀ,HA 4* SUP,ESTABL.,NA,23,Mallorca
ARTÀ,HA 4* SUP,PLACES,NA,23,Mallorca
ARTÀ,HA 5*,ESTABL.,NA,23,Mallorca
ARTÀ,HA 5*,PLACES,NA,23,Mallorca
ARTÀ,HO,ESTABL.,NA,23,Mallorca
ARTÀ,HO,PLACES,NA,23,Mallorca
ARTÀ,HR 5*,ESTABL.,NA,23,Mallorca
ARTÀ,HR 5*,PLACES,NA,23,Mallorca
ARTÀ,HR,ESTABL.,1,23,Mallorca
ARTÀ,HR,PLACES,154,23,Mallorca
ARTÀ,HS 1*,ESTABL.,1,23,Mallorca
ARTÀ,HS 1*,PLACES,15,23,Mallorca
ARTÀ,HS 2*,ESTABL.,NA,23,Mallorca
ARTÀ,HS 2*,PLACES,NA,23,Mallorca
ARTÀ,HS 3*,ESTABL.,NA,23,Mallorca
ARTÀ,HS 3*,PLACES,NA,23,Mallorca
ARTÀ,HSR 1*,ESTABL.,NA,23,Mallorca
ARTÀ,HSR 1*,PLACES,NA,23,Mallorca
ARTÀ,HSR 2*,ESTABL.,NA,23,Mallorca
ARTÀ,HSR 2*,PLACES,NA,23,Mallorca
ARTÀ,HSR 3*,ESTABL.,NA,23,Mallorca
ARTÀ,HSR 3*,PLACES,NA,23,Mallorca
ARTÀ,PENS 2*,ESTABL.,NA,23,Mallorca
ARTÀ,PENS 2*,PLACES,NA,23,Mallorca
ARTÀ,TI,ESTABL.,6,23,Mallorca
ARTÀ,TI,PLACES,65,23,Mallorca
ARTÀ,TOTAL,ESTABL.,25,23,Mallorca
ARTÀ,TOTAL,PLACES,730,23,Mallorca
BANYALBUFAR,A 1 Ll,ESTABL.,NA,23,Mallorca
BANYALBUFAR,A 1 Ll,PLACES,NA,23,Mallorca
BANYALBUFAR,A 2 Ll,ESTABL.,NA,23,Mallorca
BANYALBUFAR,A 2 Ll,PLACES,NA,23,Mallorca
BANYALBUFAR,A 3 Ll,ESTABL.,NA,23,Mallorca
BANYALBUFAR,A 3 Ll,PLACES,NA,23,Mallorca
BANYALBUFAR,A 3 Ll SUP,ESTABL.,NA,23,Mallorca
BANYALBUFAR,A 3 Ll SUP,PLACES,NA,23,Mallorca
BANYALBUFAR,A 4 Ll,ESTABL.,NA,23,Mallorca
BANYALBUFAR,A 4 Ll,PLACES,NA,23,Mallorca
BANYALBUFAR,A 4 Ll SUP,ESTABL.,NA,23,Mallorca
