Variables;n_componentes;rho;phi_1;sigma2;MAPE;RMSE_rel
Total_arima, ConsumoEuros_arima, ActivosMujeres_arima, Electricidad_arima, Gas_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,998461631717954;9,18142627675740;0,132917775630525;0,241636821410570
Total_arima, ConsumoEuros_arima, ActivoHombres_arima, NumeroSociedades_arima, Carbón y derivados_arima;3;-0,999000000000000;0,999000000000000;6,92629355594555;0,258600519520022;0,242096313251824
Total_arima, ConsumoEuros_arima, NumeroCreadas_arima, PobTotal_arima, ActivoHombres_arima, Carbón y derivados_arima, Gas_arima;3;-0,999000000000000;0,999000000000000;5,43023501473262;0,231857960101694;0,242101597366524
Total_arima, ConsumoEuros_arima, ActivosMujeres_arima, Electricidad_arima, Capital_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,998509792763835;9,05438099737904;0,141340527279386;0,242929474853057
Total_arima, ConsumoEuros_arima, NumeroCreadas_arima, PobTotal_arima, NumeroSociedades_arima, Electricidad_arima, Carbón y derivados_arima;3;-0,999000000000000;0,999000000000000;6,27798549053975;0,252913154114727;0,242967741801105
Total_arima, ConsumoEuros_arima, ActivosMujeres_arima, Gas_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,998493488146515;9,07929255142176;0,134411061369101;0,243543623914694
Total_arima, ConsumoEuros_arima, ActivoHombres_arima, NumeroSociedades_arima, Electricidad_arima, Carbón y derivados_arima;3;-0,999000000000000;0,999000000000000;7,00743145792800;0,255969125692960;0,243772679732782
Total_arima, ConsumoEuros_arima, ActivosMujeres_arima, PobTotal_arima, Electricidad_arima, Gas_arima, Capital_arima;3;-0,999000000000000;0,998474707825670;8,79376456555779;0,184917234530527;0,244065161718407
Total_arima, ConsumoEuros_arima, ActivosMujeres_arima, PobTotal_arima, Gas_arima, Capital_arima;3;-0,999000000000000;0,998460506616127;8,71909393420892;0,184824823289797;0,244451318136212
Total_arima, ConsumoEuros_arima, NumeroCreadas_arima, PobTotal_arima, ActivoHombres_arima, Gas_arima, Capital_arima;3;-0,999000000000000;0,999000000000000;5,63436226549224;0,234502068828691;0,244908892521366
Total_arima, ConsumoEuros_arima, NumeroCreadas_arima, NumeroSociedades_arima, Carbón y derivados_arima, Capital_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,999000000000000;7,75167061946604;0,292705106742485;0,245047442595001
Total_arima, ConsumoEuros_arima, NumeroCreadas_arima, PobTotal_arima, ActivoHombres_arima, Electricidad_arima, Capital_arima;3;-0,999000000000000;0,999000000000000;5,63761863495382;0,233544651281763;0,245384628697871
