Total Nacional;Comunidades y Ciudades Autónomas;Producto consumido;Período;Total
Total Nacional;09 Cataluña;Biocombustibles;2009;
Total Nacional;09 Cataluña;Calor y otros consumos energéticos;2013;78968
Total Nacional;09 Cataluña;Calor y otros consumos energéticos;2011;
Total Nacional;09 Cataluña;Calor y otros consumos energéticos;2009;
Total Nacional;09 Cataluña;Otros consumos energéticos;2013;
Total Nacional;09 Cataluña;Otros consumos energéticos;2011;97581
Total Nacional;09 Cataluña;Otros consumos energéticos;2009;74615
Total Nacional;09 Cataluña;Total consumos energéticos;2013;2330958
Total Nacional;09 Cataluña;Total consumos energéticos;2011;2242979
Total Nacional;09 Cataluña;Total consumos energéticos;2009;1983663
Total Nacional;10 Comunitat Valenciana;Electricidad;2013;555827
Total Nacional;10 Comunitat Valenciana;Electricidad;2011;545492
Total Nacional;10 Comunitat Valenciana;Electricidad;2009;506202
Total Nacional;10 Comunitat Valenciana;Gas;2013;639094
Total Nacional;10 Comunitat Valenciana;Gas;2011;535464
Total Nacional;10 Comunitat Valenciana;Gas;2009;415129
Total Nacional;10 Comunitat Valenciana;Gasóleo;2013;90812
Total Nacional;10 Comunitat Valenciana;Gasóleo;2011;106142
Total Nacional;10 Comunitat Valenciana;Gasóleo;2009;87356
Total Nacional;10 Comunitat Valenciana;Fueloil;2013;8889
Total Nacional;10 Comunitat Valenciana;Fueloil;2011;14316
Total Nacional;10 Comunitat Valenciana;Fueloil;2009;13432
Total Nacional;10 Comunitat Valenciana;Otros productos petrolíferos;2013;7748
Total Nacional;10 Comunitat Valenciana;Otros productos petrolíferos;2011;14014
Total Nacional;10 Comunitat Valenciana;Otros productos petrolíferos;2009;10037
Total Nacional;10 Comunitat Valenciana;Carbón y derivados;2013;
Total Nacional;10 Comunitat Valenciana;Carbón y derivados;2011;15198
Total Nacional;10 Comunitat Valenciana;Carbón y derivados;2009;17163
Total Nacional;10 Comunitat Valenciana;Carbón y coque;2013;13162
Total Nacional;10 Comunitat Valenciana;Carbón y coque;2011;
Total Nacional;10 Comunitat Valenciana;Carbón y coque;2009;
Total Nacional;10 Comunitat Valenciana;Biocombustibles;2013;3846
Total Nacional;10 Comunitat Valenciana;Biocombustibles;2011;
Total Nacional;10 Comunitat Valenciana;Biocombustibles;2009;
Total Nacional;10 Comunitat Valenciana;Calor y otros consumos energéticos;2013;28071
Total Nacional;10 Comunitat Valenciana;Calor y otros consumos energéticos;2011;
Total Nacional;10 Comunitat Valenciana;Calor y otros consumos energéticos;2009;
Total Nacional;10 Comunitat Valenciana;Otros consumos energéticos;2013;
Total Nacional;10 Comunitat Valenciana;Otros consumos energéticos;2011;4845
Total Nacional;10 Comunitat Valenciana;Otros consumos energéticos;2009;26347
Total Nacional;10 Comunitat Valenciana;Total consumos energéticos;2013;1347450
