Nacional;Comunidades y Ciudades Autonomas;Sexo;Periodo;Total
Total;07 Castilla y Le?n;Hombres;2014;1232250
Total;07 Castilla y Le?n;Hombres;2013;1246377
Total;07 Castilla y Le?n;Hombres;2012;1261141
Total;07 Castilla y Le?n;Hombres;2011;1267671
Total;07 Castilla y Le?n;Hombres;2010;1268860
Total;07 Castilla y Le?n;Hombres;2009;1272020
Total;07 Castilla y Le?n;Hombres;2008;1269338
Total;07 Castilla y Le?n;Hombres;2007;1251082
Total;07 Castilla y Le?n;Hombres;2006;1247158
Total;07 Castilla y Le?n;Hombres;2005;1240450
Total;07 Castilla y Le?n;Hombres;2004;1231258
Total;07 Castilla y Le?n;Hombres;2003;1228177
Total;07 Castilla y Le?n;Hombres;2002;1223935
Total;07 Castilla y Le?n;Hombres;2001;1222612
Total;07 Castilla y Le?n;Hombres;2000;1221973
Total;07 Castilla y Le?n;Hombres;1999;1227156
Total;07 Castilla y Le?n;Hombres;1998;1225516
Total;07 Castilla y Le?n;Hombres;1997;""
Total;07 Castilla y Le?n;Hombres;1996;1238129
Total;07 Castilla y Le?n;Mujeres;2021;1210025
Total;07 Castilla y Le?n;Mujeres;2020;1216072
Total;07 Castilla y Le?n;Mujeres;2019;1218147
Total;07 Castilla y Le?n;Mujeres;2018;1222801
Total;07 Castilla y Le?n;Mujeres;2017;1230550
Total;07 Castilla y Le?n;Mujeres;2016;1240744
Total;07 Castilla y Le?n;Mujeres;2015;1252436
Total;07 Castilla y Le?n;Mujeres;2014;1262540
Total;07 Castilla y Le?n;Mujeres;2013;1273498
Total;07 Castilla y Le?n;Mujeres;2012;1284937
Total;07 Castilla y Le?n;Mujeres;2011;1290792
Total;07 Castilla y Le?n;Mujeres;2010;1290655
Total;07 Castilla y Le?n;Mujeres;2009;1291501
Total;07 Castilla y Le?n;Mujeres;2008;1287992
