MEDIDAS#ca,MEDIDAS#es,MEDIDAS_CODE,TIME_PERIOD#ca,TIME_PERIOD#es,TIME_PERIOD_CODE,LUGAR_RESIDENCIA#ca,LUGAR_RESIDENCIA#es,LUGAR_RESIDENCIA_CODE,PAQUETE_TURISTICO#ca,PAQUETE_TURISTICO#es,PAQUETE_TURISTICO_CODE,OBS_VALUE,NOTAS_OBSERVACION#ca,NOTAS_OBSERVACION#es,ESTADO_OBSERVACION#ca,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION_CODE,CONFIDENCIALIDAD_OBSERVACION#ca,CONFIDENCIALIDAD_OBSERVACION#es
Turistes,Turistas,TURISTAS,01/2025,01/2025,2025-M01,Altres països o territoris del Món (exclosa Espanya),Otros países o territorios del Mundo (excluida España),5000_XES_O,Sí,Sí,SI,3668,,,Valor provisional,Valor provisional,P,,
Turistes,Turistas,TURISTAS,01/2025,01/2025,2025-M01,Altres països o territoris del Món (exclosa Espanya),Otros países o territorios del Mundo (excluida España),5000_XES_O,Total,Total,_T,44003,,,Valor provisional,Valor provisional,P,,
Turistes,Turistas,TURISTAS,01/2025,01/2025,2025-M01,Altres països o territoris del Món (exclosa Espanya),Otros países o territorios del Mundo (excluida España),5000_XES_O,No,No,NO,40335,,,Valor provisional,Valor provisional,P,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Altres països o territoris del Món (exclosa Espanya),Otros países o territorios del Mundo (excluida España),5000_XES_O,Sí,Sí,SI,91.42,,,Valor provisional,Valor provisional,P,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Altres països o territoris del Món (exclosa Espanya),Otros países o territorios del Mundo (excluida España),5000_XES_O,Total,Total,_T,9.27,,,Valor provisional,Valor provisional,P,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Altres països o territoris del Món (exclosa Espanya),Otros países o territorios del Mundo (excluida España),5000_XES_O,No,No,NO,5.16,,,Valor provisional,Valor provisional,P,,
Turistes,Turistas,TURISTAS,01/2025,01/2025,2025-M01,França,Francia,FR,Sí,Sí,SI,,,,Baixa fiabilitat,Baja fiabilidad,U,,
Turistes,Turistas,TURISTAS,01/2025,01/2025,2025-M01,França,Francia,FR,Total,Total,_T,5074,,,Valor provisional,Valor provisional,P,,
Turistes,Turistas,TURISTAS,01/2025,01/2025,2025-M01,França,Francia,FR,No,No,NO,4895,,,Valor provisional,Valor provisional,P,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,França,Francia,FR,Sí,Sí,SI,,,,Valor no disponible,Valor no disponible,O,,
