MEDIDAS#es,MEDIDAS#ca,MEDIDAS_CODE,TIME_PERIOD#es,TIME_PERIOD#ca,TIME_PERIOD_CODE,TIPOS_ALOJAMIENTO#es,TIPOS_ALOJAMIENTO#ca,TIPOS_ALOJAMIENTO_CODE,TERRITORIO#es,TERRITORIO#ca,TERRITORIO_CODE,LUGAR_RESIDENCIA#es,LUGAR_RESIDENCIA#ca,LUGAR_RESIDENCIA_CODE,OBS_VALUE,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION#ca,ESTADO_OBSERVACION_CODE,NOTAS_OBSERVACION#es,NOTAS_OBSERVACION#ca,CONFIDENCIALIDAD_OBSERVACION#es,CONFIDENCIALIDAD_OBSERVACION#ca
Turistas,Turistes,TURISTAS,2024,2024,2024,Otro alojamiento turístico de mercado,Un altre allotjament turístic de mercat,MERCADO_O,Menorca,Menorca,ES533,Mundo (excluida España),Món (exclosa Espanya),5000_XES,10302,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,2024,2024,2024,Otro alojamiento turístico de mercado,Un altre allotjament turístic de mercat,MERCADO_O,Eivissa y Formentera,Eivissa i Formentera,ES531,Mundo (excluida España),Món (exclosa Espanya),5000_XES,100124,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2024,2024,2024,Otro alojamiento turístico de mercado,Un altre allotjament turístic de mercat,MERCADO_O,Illes Balears,Illes Balears,ES53,Mundo (excluida España),Món (exclosa Espanya),5000_XES,-0.79,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2024,2024,2024,Otro alojamiento turístico de mercado,Un altre allotjament turístic de mercat,MERCADO_O,Mallorca,Mallorca,ES532,Mundo (excluida España),Món (exclosa Espanya),5000_XES,6.05,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2024,2024,2024,Otro alojamiento turístico de mercado,Un altre allotjament turístic de mercat,MERCADO_O,Menorca,Menorca,ES533,Mundo (excluida España),Món (exclosa Espanya),5000_XES,-68.20,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2024,2024,2024,Otro alojamiento turístico de mercado,Un altre allotjament turístic de mercat,MERCADO_O,Eivissa y Formentera,Eivissa i Formentera,ES531,Mundo (excluida España),Món (exclosa Espanya),5000_XES,2.98,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,2024,2024,2024,Vivienda propia (segunda residencia),Habitatge propi (segona residència),VIV_PROPIA,Illes Balears,Illes Balears,ES53,Mundo (excluida España),Món (exclosa Espanya),5000_XES,756315,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,2024,2024,2024,Vivienda propia (segunda residencia),Habitatge propi (segona residència),VIV_PROPIA,Mallorca,Mallorca,ES532,Mundo (excluida España),Món (exclosa Espanya),5000_XES,598986,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,2024,2024,2024,Vivienda propia (segunda residencia),Habitatge propi (segona residència),VIV_PROPIA,Menorca,Menorca,ES533,Mundo (excluida España),Món (exclosa Espanya),5000_XES,47510,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,2024,2024,2024,Vivienda propia (segunda residencia),Habitatge propi (segona residència),VIV_PROPIA,Eivissa y Formentera,Eivissa i Formentera,ES531,Mundo (excluida España),Món (exclosa Espanya),5000_XES,109819,Valor provisional,Valor provisional,P,,,,
