MEDIDAS#es,MEDIDAS#ca,MEDIDAS_CODE,TIME_PERIOD#es,TIME_PERIOD#ca,TIME_PERIOD_CODE,TIPOS_ALOJAMIENTO#es,TIPOS_ALOJAMIENTO#ca,TIPOS_ALOJAMIENTO_CODE,LUGAR_RESIDENCIA#es,LUGAR_RESIDENCIA#ca,LUGAR_RESIDENCIA_CODE,OBS_VALUE,NOTAS_OBSERVACION#es,NOTAS_OBSERVACION#ca,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION#ca,ESTADO_OBSERVACION_CODE,CONFIDENCIALIDAD_OBSERVACION#es,CONFIDENCIALIDAD_OBSERVACION#ca
Turistas,Turistes,TURISTAS,01/2025,01/2025,2025-M01,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,Países Nórdicos,Països Nòrdics,5100_L1,3992,,,Valor provisional,Valor provisional,P,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Total,Total,_T,Países Nórdicos,Països Nòrdics,5100_L1,93.45,,,Valor provisional,Valor provisional,P,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,Países Nórdicos,Països Nòrdics,5100_L1,75.32,,,Valor provisional,Valor provisional,P,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,Países Nórdicos,Països Nòrdics,5100_L1,131.82,,,Valor provisional,Valor provisional,P,,
Turistas,Turistes,TURISTAS,01/2025,01/2025,2025-M01,Total,Total,_T,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,44003,,,Valor provisional,Valor provisional,P,,
Turistas,Turistes,TURISTAS,01/2025,01/2025,2025-M01,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,28136,,,Valor provisional,Valor provisional,P,,
Turistas,Turistes,TURISTAS,01/2025,01/2025,2025-M01,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,15867,,,Valor provisional,Valor provisional,P,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Total,Total,_T,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,9.27,,,Valor provisional,Valor provisional,P,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,17.29,,,Valor provisional,Valor provisional,P,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,-2.55,,,Valor provisional,Valor provisional,P,,
