MEDIDAS#ca,MEDIDAS#es,MEDIDAS_CODE,TIME_PERIOD#ca,TIME_PERIOD#es,TIME_PERIOD_CODE,TERRITORIO#ca,TERRITORIO#es,TERRITORIO_CODE,PAQUETE_TURISTICO#ca,PAQUETE_TURISTICO#es,PAQUETE_TURISTICO_CODE,OBS_VALUE,CONFIDENCIALIDAD_OBSERVACION#ca,CONFIDENCIALIDAD_OBSERVACION#es,NOTAS_OBSERVACION#ca,NOTAS_OBSERVACION#es,ESTADO_OBSERVACION#ca,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION_CODE
Turistes,Turistas,TURISTAS,12/2024,12/2024,2024-M12,Eivissa i Formentera,Eivissa y Formentera,ES531,No,No,NO,32879,,,,,Valor provisional,Valor provisional,P
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,12/2024,12/2024,2024-M12,Eivissa i Formentera,Eivissa y Formentera,ES531,Sí,Sí,SI,-71.10,,,,,Valor provisional,Valor provisional,P
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,12/2024,12/2024,2024-M12,Eivissa i Formentera,Eivissa y Formentera,ES531,Total,Total,_T,-5.48,,,,,Valor provisional,Valor provisional,P
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,12/2024,12/2024,2024-M12,Eivissa i Formentera,Eivissa y Formentera,ES531,No,No,NO,-2.92,,,,,Valor provisional,Valor provisional,P
Turistes,Turistas,TURISTAS,11/2024,11/2024,2024-M11,Illes Balears,Illes Balears,ES53,Sí,Sí,SI,55492,,,,,Valor provisional,Valor provisional,P
Turistes,Turistas,TURISTAS,11/2024,11/2024,2024-M11,Illes Balears,Illes Balears,ES53,Total,Total,_T,370250,,,,,Valor provisional,Valor provisional,P
Turistes,Turistas,TURISTAS,11/2024,11/2024,2024-M11,Illes Balears,Illes Balears,ES53,No,No,NO,314758,,,,,Valor provisional,Valor provisional,P
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,11/2024,11/2024,2024-M11,Illes Balears,Illes Balears,ES53,Sí,Sí,SI,82.62,,,,,Valor provisional,Valor provisional,P
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,11/2024,11/2024,2024-M11,Illes Balears,Illes Balears,ES53,Total,Total,_T,18.16,,,,,Valor provisional,Valor provisional,P
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,11/2024,11/2024,2024-M11,Illes Balears,Illes Balears,ES53,No,No,NO,11.24,,,,,Valor provisional,Valor provisional,P
Turistes,Turistas,TURISTAS,11/2024,11/2024,2024-M11,Mallorca,Mallorca,ES532,Sí,Sí,SI,51688,,,,,Valor provisional,Valor provisional,P
Turistes,Turistas,TURISTAS,11/2024,11/2024,2024-M11,Mallorca,Mallorca,ES532,Total,Total,_T,307569,,,,,Valor provisional,Valor provisional,P
Turistes,Turistas,TURISTAS,11/2024,11/2024,2024-M11,Mallorca,Mallorca,ES532,No,No,NO,255881,,,,,Valor provisional,Valor provisional,P
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,11/2024,11/2024,2024-M11,Mallorca,Mallorca,ES532,Sí,Sí,SI,74.58,,,,,Valor provisional,Valor provisional,P
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,11/2024,11/2024,2024-M11,Mallorca,Mallorca,ES532,Total,Total,_T,12.83,,,,,Valor provisional,Valor provisional,P
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,11/2024,11/2024,2024-M11,Mallorca,Mallorca,ES532,No,No,NO,5.30,,,,,Valor provisional,Valor provisional,P
Turistes,Turistas,TURISTAS,11/2024,11/2024,2024-M11,Menorca,Menorca,ES533,Sí,Sí,SI,1006,,,,,Valor provisional,Valor provisional,P
Turistes,Turistas,TURISTAS,11/2024,11/2024,2024-M11,Menorca,Menorca,ES533,Total,Total,_T,17071,,,,,Valor provisional,Valor provisional,P
Turistes,Turistas,TURISTAS,11/2024,11/2024,2024-M11,Menorca,Menorca,ES533,No,No,NO,16065,,,,,Valor provisional,Valor provisional,P
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,11/2024,11/2024,2024-M11,Menorca,Menorca,ES533,Sí,Sí,SI,,,,,,Valor no disponible,Valor no disponible,O
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,11/2024,11/2024,2024-M11,Menorca,Menorca,ES533,Total,Total,_T,84.69,,,,,Valor provisional,Valor provisional,P
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,11/2024,11/2024,2024-M11,Menorca,Menorca,ES533,No,No,NO,76.43,,,,,Valor provisional,Valor provisional,P
Turistes,Turistas,TURISTAS,11/2024,11/2024,2024-M11,Eivissa i Formentera,Eivissa y Formentera,ES531,Sí,Sí,SI,2797,,,,,Valor provisional,Valor provisional,P
Turistes,Turistas,TURISTAS,11/2024,11/2024,2024-M11,Eivissa i Formentera,Eivissa y Formentera,ES531,Total,Total,_T,45610,,,,,Valor provisional,Valor provisional,P
Turistes,Turistas,TURISTAS,11/2024,11/2024,2024-M11,Eivissa i Formentera,Eivissa y Formentera,ES531,No,No,NO,42812,,,,,Valor provisional,Valor provisional,P
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,11/2024,11/2024,2024-M11,Eivissa i Formentera,Eivissa y Formentera,ES531,Sí,Sí,SI,334.83,,,,,Valor provisional,Valor provisional,P
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,11/2024,11/2024,2024-M11,Eivissa i Formentera,Eivissa y Formentera,ES531,Total,Total,_T,44.76,,,,,Valor provisional,Valor provisional,P
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,11/2024,11/2024,2024-M11,Eivissa i Formentera,Eivissa y Formentera,ES531,No,No,NO,38.71,,,,,Valor provisional,Valor provisional,P
Turistes,Turistas,TURISTAS,10/2024,10/2024,2024-M10,Illes Balears,Illes Balears,ES53,Sí,Sí,SI,768537,,,,,Valor provisional,Valor provisional,P
Turistes,Turistas,TURISTAS,10/2024,10/2024,2024-M10,Illes Balears,Illes Balears,ES53,Total,Total,_T,1816424,,,,,Valor provisional,Valor provisional,P
Turistes,Turistas,TURISTAS,10/2024,10/2024,2024-M10,Illes Balears,Illes Balears,ES53,No,No,NO,1047887,,,,,Valor provisional,Valor provisional,P
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,10/2024,10/2024,2024-M10,Illes Balears,Illes Balears,ES53,Sí,Sí,SI,7.51,,,,,Valor provisional,Valor provisional,P
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,10/2024,10/2024,2024-M10,Illes Balears,Illes Balears,ES53,Total,Total,_T,7.58,,,,,Valor provisional,Valor provisional,P
