MEDIDAS#ca,MEDIDAS#es,MEDIDAS_CODE,TERRITORIO#ca,TERRITORIO#es,TERRITORIO_CODE,TIME_PERIOD#ca,TIME_PERIOD#es,TIME_PERIOD_CODE,LUGAR_RESIDENCIA#ca,LUGAR_RESIDENCIA#es,LUGAR_RESIDENCIA_CODE,OBS_VALUE,ESTADO_OBSERVACION#ca,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION_CODE,NOTAS_OBSERVACION#ca,NOTAS_OBSERVACION#es,CONFIDENCIALIDAD_OBSERVACION#ca,CONFIDENCIALIDAD_OBSERVACION#es
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,Eivissa i Formentera,Eivissa y Formentera,ES531,01/2025,01/2025,2025-M01,Món (exclosa Illes Balears),Mundo (excluida Illes Balears),5000_XIB,-9.26,Valor provisional,Valor provisional,P,,,,
Turistes,Turistas,TURISTAS,Illes Balears,Illes Balears,ES53,01/2025,01/2025,2025-M01,Món (exclosa Espanya),Mundo (excluida España),5000_XES,147620,Valor provisional,Valor provisional,P,,,,
Turistes,Turistas,TURISTAS,Mallorca,Mallorca,ES532,01/2025,01/2025,2025-M01,Món (exclosa Espanya),Mundo (excluida España),5000_XES,135625,Valor provisional,Valor provisional,P,,,,
Turistes,Turistas,TURISTAS,Menorca,Menorca,ES533,01/2025,01/2025,2025-M01,Món (exclosa Espanya),Mundo (excluida España),5000_XES,3623,Valor provisional,Valor provisional,P,,,,
Turistes,Turistas,TURISTAS,Eivissa i Formentera,Eivissa y Formentera,ES531,01/2025,01/2025,2025-M01,Món (exclosa Espanya),Mundo (excluida España),5000_XES,8372,Valor provisional,Valor provisional,P,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,Illes Balears,Illes Balears,ES53,01/2025,01/2025,2025-M01,Món (exclosa Espanya),Mundo (excluida España),5000_XES,6.00,Valor provisional,Valor provisional,P,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,Mallorca,Mallorca,ES532,01/2025,01/2025,2025-M01,Món (exclosa Espanya),Mundo (excluida España),5000_XES,6.83,Valor provisional,Valor provisional,P,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,Menorca,Menorca,ES533,01/2025,01/2025,2025-M01,Món (exclosa Espanya),Mundo (excluida España),5000_XES,151.95,Valor provisional,Valor provisional,P,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,Eivissa i Formentera,Eivissa y Formentera,ES531,01/2025,01/2025,2025-M01,Món (exclosa Espanya),Mundo (excluida España),5000_XES,-23.02,Valor provisional,Valor provisional,P,,,,
Turistes,Turistas,TURISTAS,Illes Balears,Illes Balears,ES53,01/2025,01/2025,2025-M01,Alemanya,Alemania,DE,72260,Valor provisional,Valor provisional,P,,,,
