CPRO,PROVINCIA,code_mun,municipality,total,male,female,year
07,Balears (Illes),050,Sant Joan de Labritja,4838,2517,2321,2005
07,Balears (Illes),048,Sant Josep de sa Talaia,18382,9620,8762,2005
07,Balears (Illes),051,Sant Llorenç des Cardassar,7498,3835,3663,2005
07,Balears (Illes),052,Sant Lluís,5865,2987,2878,2005
07,Balears (Illes),053,Santa Eugènia,1420,756,664,2005
07,Balears (Illes),054,Santa Eulalia del Río,26724,13798,12926,2005
07,Balears (Illes),055,Santa Margalida,9719,4970,4749,2005
07,Balears (Illes),056,Santa María del Camí,5175,2579,2596,2005
07,Balears (Illes),057,Santanyí,10673,5405,5268,2005
07,Balears (Illes),058,Selva,3205,1591,1614,2005
07,Balears (Illes),047,Sencelles,2656,1368,1288,2005
07,Balears (Illes),060,Sineu,3053,1519,1534,2005
07,Balears (Illes),061,Sóller,12521,6278,6243,2005
07,Balears (Illes),062,Son Servera,10766,5498,5268,2005
07,Balears (Illes),063,Valldemossa,1910,971,939,2005
07,Balears (Illes),065,Vilafranca de Bonany,2521,1261,1260,2005
07,Illes Balears,002,Alaior,8933,4524,4409,2006
07,Illes Balears,001,Alaró,4869,2417,2452,2006
07,Illes Balears,003,Alcúdia,16176,8331,7845,2006
07,Illes Balears,004,Algaida,4339,2248,2091,2006
07,Illes Balears,005,Andratx,10410,5251,5159,2006
07,Illes Balears,901,Ariany,766,404,362,2006
07,Illes Balears,006,Artà,6730,3385,3345,2006
07,Illes Balears,007,Banyalbufar,572,325,247,2006
07,Illes Balears,008,Binissalem,6475,3304,3171,2006
07,Illes Balears,009,Búger,1063,540,523,2006
07,Illes Balears,010,Bunyola,5574,2804,2770,2006
07,Illes Balears,011,Calvià,45284,22717,22567,2006
07,Illes Balears,012,Campanet,2507,1251,1256,2006
07,Illes Balears,013,Campos,8296,4180,4116,2006
07,Illes Balears,014,Capdepera,11074,5593,5481,2006
07,Illes Balears,064,Castell (Es),7475,3822,3653,2006
07,Illes Balears,015,Ciutadella de Menorca,27468,13698,13770,2006
07,Illes Balears,016,Consell,3045,1548,1497,2006
07,Illes Balears,017,Costitx,976,476,500,2006
07,Illes Balears,018,Deyá,708,379,329,2006
07,Illes Balears,026,Eivissa,42884,21851,21033,2006
07,Illes Balears,019,Escorca,307,179,128,2006
07,Illes Balears,020,Esporles,4546,2255,2291,2006
07,Illes Balears,021,Estellencs,399,211,188,2006
07,Illes Balears,022,Felanitx,16948,8742,8206,2006
07,Illes Balears,023,Ferreries,4476,2309,2167,2006
07,Illes Balears,024,Formentera,7957,4203,3754,2006
07,Illes Balears,025,Fornalutx,717,358,359,2006
07,Illes Balears,027,Inca,27301,13855,13446,2006
07,Illes Balears,028,Lloret de Vistalegre,1149,577,572,2006
07,Illes Balears,029,Lloseta,5375,2791,2584,2006
07,Illes Balears,030,Llubí,2042,1022,1020,2006
07,Illes Balears,031,Llucmajor,31381,15908,15473,2006
07,Illes Balears,032,Mahón,27893,13854,14039,2006
07,Illes Balears,033,Manacor,37165,18737,18428,2006
07,Illes Balears,034,Mancor de la Vall,991,492,499,2006
07,Illes Balears,035,Maria de la Salut,2141,1110,1031,2006
07,Illes Balears,036,Marratxí,29742,15121,14621,2006
07,Illes Balears,037,Mercadal (Es),4504,2336,2168,2006
07,Illes Balears,902,Migjorn Gran (Es),1503,742,761,2006
07,Illes Balears,038,Montuïri,2576,1304,1272,2006
07,Illes Balears,039,Muro,6717,3486,3231,2006
07,Illes Balears,040,Palma de Mallorca,375048,183443,191605,2006
07,Illes Balears,041,Petra,2744,1372,1372,2006
07,Illes Balears,044,Pobla (Sa),12122,6360,5762,2006
07,Illes Balears,042,Pollença,16398,8292,8106,2006
07,Illes Balears,043,Porreres,4848,2558,2290,2006
07,Illes Balears,045,Puigpunyent,1631,845,786,2006
07,Illes Balears,059,Salines (Ses),4502,2303,2199,2006
07,Illes Balears,046,Sant Antoni de Portmany,19673,10229,9444,2006
07,Illes Balears,049,Sant Joan,1853,938,915,2006
07,Illes Balears,050,Sant Joan de Labritja,4975,2579,2396,2006
07,Illes Balears,048,Sant Josep de sa Talaia,19224,10031,9193,2006
07,Illes Balears,051,Sant Llorenç des Cardassar,7738,3946,3792,2006
07,Illes Balears,052,Sant Lluís,6182,3135,3047,2006
07,Illes Balears,053,Santa Eugènia,1439,769,670,2006
